NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Bari - Kennedy;01/02/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;02/02/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;03/02/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;04/02/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;05/02/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;06/02/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;07/02/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;08/02/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;09/02/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;10/02/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;11/02/2023;Bari;Bari;PM10;29;7
Bari - Kennedy;12/02/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;13/02/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;14/02/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;15/02/2023;Bari;Bari;PM10;41;7
Bari - Kennedy;16/02/2023;Bari;Bari;PM10;29;7
Bari - Kennedy;17/02/2023;Bari;Bari;PM10;42;7
Bari - Kennedy;18/02/2023;Bari;Bari;PM10;34;7
Bari - Kennedy;19/02/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;20/02/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;21/02/2023;Bari;Bari;PM10;29;7
Bari - Kennedy;22/02/2023;Bari;Bari;PM10;38;7
Bari - Kennedy;23/02/2023;Bari;Bari;PM10;39;7
Bari - Kennedy;24/02/2023;Bari;Bari;PM10;23;7
Bari - Kennedy;25/02/2023;Bari;Bari;PM10;24;7
Bari - Kennedy;26/02/2023;Bari;Bari;PM10;43;7
Bari - Kennedy;27/02/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;28/02/2023;Bari;Bari;PM10;0;7
Bari - Kennedy;01/03/2023;Bari;Bari;PM10;0;7
Bari - Kennedy;02/03/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;03/03/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;04/03/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;05/03/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;06/03/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;07/03/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;08/03/2023;Bari;Bari;PM10;11;7
Bari - Kennedy;09/03/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;10/03/2023;Bari;Bari;PM10;11;7
Bari - Kennedy;11/03/2023;Bari;Bari;PM10;24;7
Bari - Kennedy;12/03/2023;Bari;Bari;PM10;24;7
Bari - Kennedy;13/03/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;14/03/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;15/03/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;16/03/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;17/03/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;18/03/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;19/03/2023;Bari;Bari;PM10;24;7
Bari - Kennedy;20/03/2023;Bari;Bari;PM10;23;7
Bari - Kennedy;21/03/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;22/03/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;23/03/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;24/03/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;25/03/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;26/03/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;27/03/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;28/03/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;29/03/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;30/03/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;31/03/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;01/04/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;02/04/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;03/04/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;04/04/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;05/04/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;06/04/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;07/04/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;08/04/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;09/04/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;10/04/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;11/04/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;12/04/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;13/04/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;14/04/2023;Bari;Bari;PM10;9;7
Bari - Kennedy;15/04/2023;Bari;Bari;PM10;9;7
Bari - Kennedy;16/04/2023;Bari;Bari;PM10;8;7
Bari - Kennedy;17/04/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;18/04/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;19/04/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;20/04/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;21/04/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;22/04/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;23/04/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;24/04/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;25/04/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;26/04/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;27/04/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;28/04/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;29/04/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;30/04/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;01/05/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;02/05/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;03/05/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;04/05/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;05/05/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;06/05/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;07/05/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;08/05/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;09/05/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;10/05/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;11/05/2023;Bari;Bari;PM10;11;7
Bari - Kennedy;12/05/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;13/05/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;14/05/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;15/05/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;16/05/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;17/05/2023;Bari;Bari;PM10;11;7
Bari - Kennedy;18/05/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;19/05/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;20/05/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;21/05/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;22/05/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;23/05/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;24/05/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;25/05/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;26/05/2023;Bari;Bari;PM10;0;7
Bari - Kennedy;27/05/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;28/05/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;29/05/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;30/05/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;31/05/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;01/06/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;02/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;03/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;04/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;05/06/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;06/06/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;07/06/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;08/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;09/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;10/06/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;11/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;12/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;13/06/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;14/06/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;15/06/2023;Bari;Bari;PM10;8;7
Bari - Kennedy;16/06/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;17/06/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;18/06/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;19/06/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;20/06/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;21/06/2023;Bari;Bari;PM10;27;7
Bari - Kennedy;22/06/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;23/06/2023;Bari;Bari;PM10;55;7
Bari - Kennedy;24/06/2023;Bari;Bari;PM10;27;7
Bari - Kennedy;25/06/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;26/06/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;27/06/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;28/06/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;29/06/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;30/06/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;01/07/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;02/07/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;03/07/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;04/07/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;05/07/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;06/07/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;07/07/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;08/07/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;09/07/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;10/07/2023;Bari;Bari;PM10;24;7
Bari - Kennedy;11/07/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;12/07/2023;Bari;Bari;PM10;33;7
Bari - Kennedy;13/07/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;14/07/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;15/07/2023;Bari;Bari;PM10;29;7
Bari - Kennedy;16/07/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;17/07/2023;Bari;Bari;PM10;32;7
Bari - Kennedy;18/07/2023;Bari;Bari;PM10;38;7
Bari - Kennedy;19/07/2023;Bari;Bari;PM10;50;7
Bari - Kennedy;20/07/2023;Bari;Bari;PM10;45;7
Bari - Kennedy;21/07/2023;Bari;Bari;PM10;46;7
Bari - Kennedy;22/07/2023;Bari;Bari;PM10;55;7
Bari - Kennedy;23/07/2023;Bari;Bari;PM10;38;7
Bari - Kennedy;24/07/2023;Bari;Bari;PM10;46;7
Bari - Kennedy;25/07/2023;Bari;Bari;PM10;60;7
Bari - Kennedy;26/07/2023;Bari;Bari;PM10;28;7
Bari - Kennedy;27/07/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;28/07/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;29/07/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;30/07/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;31/07/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;01/08/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;02/08/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;03/08/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;04/08/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;05/08/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;06/08/2023;Bari;Bari;PM10;8;7
Bari - Kennedy;07/08/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;08/08/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;09/08/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;10/08/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;11/08/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;12/08/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;13/08/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;14/08/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;15/08/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;16/08/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;17/08/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;19/08/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;20/08/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;21/08/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;22/08/2023;Bari;Bari;PM10;31;7
Bari - Kennedy;23/08/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;24/08/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;25/08/2023;Bari;Bari;PM10;35;7
Bari - Kennedy;26/08/2023;Bari;Bari;PM10;39;7
Bari - Kennedy;27/08/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;28/08/2023;Bari;Bari;PM10;35;7
Bari - Kennedy;29/08/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;30/08/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;31/08/2023;Bari;Bari;PM10;0;7
Bari - Kennedy;01/09/2023;Bari;Bari;PM10;8;7
Bari - Kennedy;02/09/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;03/09/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;04/09/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;05/09/2023;Bari;Bari;PM10;0;7
Bari - Kennedy;06/09/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;07/09/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;08/09/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;09/09/2023;Bari;Bari;PM10;24;7
Bari - Kennedy;10/09/2023;Bari;Bari;PM10;23;7
Bari - Kennedy;11/09/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;12/09/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;13/09/2023;Bari;Bari;PM10;35;7
Bari - Kennedy;14/09/2023;Bari;Bari;PM10;35;7
Bari - Kennedy;15/09/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;16/09/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;17/09/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;18/09/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;19/09/2023;Bari;Bari;PM10;52;7
Bari - Kennedy;20/09/2023;Bari;Bari;PM10;41;7
Bari - Kennedy;21/09/2023;Bari;Bari;PM10;40;7
Bari - Kennedy;22/09/2023;Bari;Bari;PM10;52;7
Bari - Kennedy;23/09/2023;Bari;Bari;PM10;36;7
Bari - Kennedy;24/09/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;25/09/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;26/09/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;27/09/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;28/09/2023;Bari;Bari;PM10;36;7
Bari - Kennedy;29/09/2023;Bari;Bari;PM10;33;7
Bari - Kennedy;30/09/2023;Bari;Bari;PM10;31;7
Bari - Kennedy;01/10/2023;Bari;Bari;PM10;27;7
Bari - Kennedy;02/10/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;03/10/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;04/10/2023;Bari;Bari;PM10;32;7
Bari - Kennedy;05/10/2023;Bari;Bari;PM10;27;7
Bari - Kennedy;06/10/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;07/10/2023;Bari;Bari;PM10;20;7
Bari - Kennedy;08/10/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;09/10/2023;Bari;Bari;PM10;34;7
Bari - Kennedy;10/10/2023;Bari;Bari;PM10;44;7
Bari - Kennedy;11/10/2023;Bari;Bari;PM10;37;7
Bari - Kennedy;12/10/2023;Bari;Bari;PM10;32;7
Bari - Kennedy;13/10/2023;Bari;Bari;PM10;41;7
Bari - Kennedy;14/10/2023;Bari;Bari;PM10;35;7
Bari - Kennedy;15/10/2023;Bari;Bari;PM10;27;7
Bari - Kennedy;16/10/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;17/10/2023;Bari;Bari;PM10;7;7
Bari - Kennedy;18/10/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;19/10/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;20/10/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;21/10/2023;Bari;Bari;PM10;49;7
Bari - Kennedy;22/10/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;23/10/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;24/10/2023;Bari;Bari;PM10;38;7
Bari - Kennedy;25/10/2023;Bari;Bari;PM10;56;7
Bari - Kennedy;26/10/2023;Bari;Bari;PM10;8;7
Bari - Kennedy;27/10/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;28/10/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;29/10/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;30/10/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;31/10/2023;Bari;Bari;PM10;23;7
Bari - Kennedy;01/11/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;02/11/2023;Bari;Bari;PM10;4;7
Bari - Kennedy;03/11/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;04/11/2023;Bari;Bari;PM10;7;7
Bari - Kennedy;05/11/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;06/11/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;07/11/2023;Bari;Bari;PM10;24;7
Bari - Kennedy;08/11/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;09/11/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;10/11/2023;Bari;Bari;PM10;5;7
Bari - Kennedy;11/11/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;12/11/2023;Bari;Bari;PM10;7;7
Bari - Kennedy;13/11/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;14/11/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;15/11/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;16/11/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;17/11/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;18/11/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;19/11/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;20/11/2023;Bari;Bari;PM10;18;7
Bari - Kennedy;21/11/2023;Bari;Bari;PM10;7;7
Bari - Kennedy;22/11/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;23/11/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;24/11/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;25/11/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;26/11/2023;Bari;Bari;PM10;9;7
Bari - Kennedy;27/11/2023;Bari;Bari;PM10;6;7
Bari - Kennedy;28/11/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;29/11/2023;Bari;Bari;PM10;0;7
Bari - Kennedy;30/11/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;01/12/2023;Bari;Bari;PM10;32;7
Bari - Kennedy;02/12/2023;Bari;Bari;PM10;41;7
Bari - Kennedy;03/12/2023;Bari;Bari;PM10;16;7
Bari - Kennedy;04/12/2023;Bari;Bari;PM10;19;7
Bari - Kennedy;05/12/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;06/12/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;07/12/2023;Bari;Bari;PM10;9;7
Bari - Kennedy;08/12/2023;Bari;Bari;PM10;23;7
Bari - Kennedy;09/12/2023;Bari;Bari;PM10;23;7
Bari - Kennedy;10/12/2023;Bari;Bari;PM10;9;7
Bari - Kennedy;11/12/2023;Bari;Bari;PM10;10;7
Bari - Kennedy;12/12/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;13/12/2023;Bari;Bari;PM10;12;7
Bari - Kennedy;14/12/2023;Bari;Bari;PM10;13;7
Bari - Kennedy;15/12/2023;Bari;Bari;PM10;14;7
Bari - Kennedy;16/12/2023;Bari;Bari;PM10;22;7
Bari - Kennedy;17/12/2023;Bari;Bari;PM10;26;7
Bari - Kennedy;18/12/2023;Bari;Bari;PM10;32;7
Bari - Kennedy;19/12/2023;Bari;Bari;PM10;32;7
Bari - Kennedy;20/12/2023;Bari;Bari;PM10;15;7
Bari - Kennedy;21/12/2023;Bari;Bari;PM10;25;7
Bari - Kennedy;22/12/2023;Bari;Bari;PM10;17;7
Bari - Kennedy;23/12/2023;Bari;Bari;PM10;21;7
Bari - Kennedy;24/12/2023;Bari;Bari;PM10;27;7
Bari - Kennedy;25/12/2023;Bari;Bari;PM10;63;7
Bari - Kennedy;26/12/2023;Bari;Bari;PM10;28;7
Bari - Kennedy;27/12/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;28/12/2023;Bari;Bari;PM10;32;7
Bari - Kennedy;29/12/2023;Bari;Bari;PM10;33;7
Bari - Kennedy;30/12/2023;Bari;Bari;PM10;34;7
Bari - Kennedy;31/12/2023;Bari;Bari;PM10;30;7
Bari - Kennedy;01/01/2024;Bari;Bari;PM10;14;7
Bari - Kennedy;02/01/2024;Bari;Bari;PM10;20;7
Bari - Kennedy;03/01/2024;Bari;Bari;PM10;16;7
Bari - Kennedy;04/01/2024;Bari;Bari;PM10;23;7
Bari - Kennedy;05/01/2024;Bari;Bari;PM10;17;7
Bari - Kennedy;06/01/2024;Bari;Bari;PM10;13;7
Bari - Kennedy;07/01/2024;Bari;Bari;PM10;16;7
Bari - Kennedy;08/01/2024;Bari;Bari;PM10;23;7
Bari - Kennedy;09/01/2024;Bari;Bari;PM10;17;7
Bari - Kennedy;10/01/2024;Bari;Bari;PM10;26;7
Bari - Kennedy;11/01/2024;Bari;Bari;PM10;24;7
Bari - Kennedy;12/01/2024;Bari;Bari;PM10;13;7
Bari - Kennedy;13/01/2024;Bari;Bari;PM10;14;7
Bari - Kennedy;14/01/2024;Bari;Bari;PM10;14;7
Bari - Kennedy;15/01/2024;Bari;Bari;PM10;6;7
Bari - Kennedy;16/01/2024;Bari;Bari;PM10;20;7
Bari - Kennedy;17/01/2024;Bari;Bari;PM10;8;7
Bari - Kennedy;18/01/2024;Bari;Bari;PM10;17;7
Bari - Kennedy;19/01/2024;Bari;Bari;PM10;17;7
Bari - Kennedy;20/01/2024;Bari;Bari;PM10;13;7
Bari - Kennedy;21/01/2024;Bari;Bari;PM10;18;7
Bari - Kennedy;22/01/2024;Bari;Bari;PM10;30;7
Bari - Kennedy;23/01/2024;Bari;Bari;PM10;22;7
Bari - Kennedy;24/01/2024;Bari;Bari;PM10;21;7
Bari - Kennedy;25/01/2024;Bari;Bari;PM10;26;7
Bari - Kennedy;26/01/2024;Bari;Bari;PM10;42;7
Bari - Kennedy;27/01/2024;Bari;Bari;PM10;44;7
Bari - Kennedy;28/01/2024;Bari;Bari;PM10;15;7
Bari - Kennedy;29/01/2024;Bari;Bari;PM10;20;7
Bari - Kennedy;30/01/2024;Bari;Bari;PM10;38;7
Bari - Kennedy;31/01/2024;Bari;Bari;PM10;36;7
Bari - Kennedy;01/02/2024;Bari;Bari;PM10;41;7
Bari - Kennedy;02/02/2024;Bari;Bari;PM10;25;7
Bari - Kennedy;03/02/2024;Bari;Bari;PM10;27;7
Bari - Kennedy;04/02/2024;Bari;Bari;PM10;33;7
Bari - Kennedy;05/02/2024;Bari;Bari;PM10;27;7
Bari - Kennedy;06/02/2024;Bari;Bari;PM10;30;7
Bari - Kennedy;07/02/2024;Bari;Bari;PM10;22;7
Bari - Kennedy;08/02/2024;Bari;Bari;PM10;26;7
Bari - Kennedy;09/02/2024;Bari;Bari;PM10;20;7
Bari - Kennedy;10/02/2024;Bari;Bari;PM10;29;7
Bari - Kennedy;11/02/2024;Bari;Bari;PM10;14;7
Bari - Kennedy;12/02/2024;Bari;Bari;PM10;23;7
Bari - Kennedy;13/02/2024;Bari;Bari;PM10;20;7
Bari - Kennedy;14/02/2024;Bari;Bari;PM10;21;7
Bari - Kennedy;15/02/2024;Bari;Bari;PM10;26;7
Bari - Kennedy;16/02/2024;Bari;Bari;PM10;35;7
Bari - Kennedy;17/02/2024;Bari;Bari;PM10;35;7
Bari - Kennedy;18/02/2024;Bari;Bari;PM10;44;7
Bari - Kennedy;19/02/2024;Bari;Bari;PM10;44;7
Bari - Kennedy;20/02/2024;Bari;Bari;PM10;39;7
Bari - Kennedy;21/02/2024;Bari;Bari;PM10;21;7
Bari - Kennedy;22/02/2024;Bari;Bari;PM10;15;7
Bari - Kennedy;23/02/2024;Bari;Bari;PM10;15;7
Bari - Kennedy;24/02/2024;Bari;Bari;PM10;16;7
Bari - Kennedy;25/02/2024;Bari;Bari;PM10;12;7
Bari - Kennedy;26/02/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;27/02/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;28/02/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;29/02/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;01/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;02/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;03/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;05/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;06/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;07/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;08/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;09/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;10/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;11/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;12/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;13/03/2024;Bari;Bari;PM10;0;7
Bari - Kennedy;14/03/2024;Bari;Bari;PM10;0;7
Bitonto - EN01;01/01/2023;Bari;Bitonto;PM10;31;19
Bitonto - EN01;02/01/2023;Bari;Bitonto;PM10;29;19
Bitonto - EN01;03/01/2023;Bari;Bitonto;PM10;28;19
Bitonto - EN01;04/01/2023;Bari;Bitonto;PM10;19;19
Bitonto - EN01;05/01/2023;Bari;Bitonto;PM10;23;19
Bitonto - EN01;06/01/2023;Bari;Bitonto;PM10;23;19
Bitonto - EN01;07/01/2023;Bari;Bitonto;PM10;22;19
Bitonto - EN01;08/01/2023;Bari;Bitonto;PM10;21;19
Bitonto - EN01;09/01/2023;Bari;Bitonto;PM10;7;19
Bitonto - EN01;10/01/2023;Bari;Bitonto;PM10;8;19
Bitonto - EN01;11/01/2023;Bari;Bitonto;PM10;9;19
Bitonto - EN01;12/01/2023;Bari;Bitonto;PM10;11;19
Bitonto - EN01;13/01/2023;Bari;Bitonto;PM10;19;19
Bitonto - EN01;14/01/2023;Bari;Bitonto;PM10;19;19
Bitonto - EN01;15/01/2023;Bari;Bitonto;PM10;11;19
